Type;SNR (dB);All Noises [-5,10] dB - %80;All Noises [-5,10] dB - %100 ;All Noises [0,15] dB - %80 ;Babble Noise [-5,10] dB - %80;Mixed Noise [-5,10] dB - %80;VacuumCleaner Noise [-5,10] dB - %80;Without Additional Noise;Latest KWS WhiteNoise Application;Trained_Without_WhiteNoise;Trained_With_WhiteNoise;Trained with all noise + white noise;[5,30] SNR - Updated KWS;[-5,30] SNR - Updated KWS;[5,30] SNR - Final KWS;[-5,30] SNR - Final KWS;[-5,10] SNR - Final KWS;[-5,20] SNR - Final KWS
CopyMachine;20,0;93,513218860725;92,45025892613792;92,99536658490052;92,50476969201418;92,85908967020988;92,1777050967566;92,6137912237667;93,513218860725;92,1777050967566;92,3412373943854;93,0771327337149;93,3121308496138;92,45797364834166;92,97592003634712;92,86687869150386;92,19445706497046;93,14856883234893
CopyMachine;25,0;93,54047424366313;92,55928045789044;93,73126192423004;92,9681112019624;93,1588988825293;92,8045789043336;93,32243118015808;93,64949577541564;93,0771327337149;93,02262196783865;93,3496865630962;93,45751930940482;92,84870513402998;93,10313493866424;93,11222171740118;92,2035438437074;93,23034984098138
CopyMachine;30,0;93,56772962660123;92,77732352139547;93,75851730716816;92,99536658490052;93,1588988825293;92,99536658490052;93,94930498773508;93,84028345598256;93,75851730716816;93,56772962660123;93,37694194603434;93,80281690140843;92,88505224897774;93,139482053612;93,46660608814176;92,27623807360293;93,38482507950931
Munching;-5,0;81,5481057508858;81,46633960207141;78,98609975470156;72,2812755519215;80,23984736985554;73,28972472063234;65,52194058326519;83,48323793949305;61,515399291360055;65,76723902970836;80,45789043336059;82,43525670149931;82,29895502044525;80,01817355747387;81,74466151749205;82,19900045433893;82,98955020445253
Munching;0,0;87,65331152902698;87,62605614608884;86,59035159443991;82,01144726083402;86,99918233851186;83,15617334423548;76,20605069501227;87,59880076315072;74,02562005996185;77,26901062959935;86,89016080675933;87,59654702407997;87,37846433439346;86,75147660154475;87,66015447523853;87,06042707860064;88,21444797819173
Munching;5,0;90,76042518397384;89,9155083128918;90,37884982284;88,25292995366584;90,16080675933496;87,4080130825838;84,35541019351322;91,0874897792314;82,42027800490597;84,54619787408014;90,86944671572635;90,82235347569286;90,2498864152658;89,80463425715584;90,28623353021356;89,59563834620627;90,99500227169469
Munching;10,0;92,47751430907604;91,87789588443718;92,55928045789044;90,97846824747889;91,87789588443718;90,32433905696377;89,2886345053148;92,20496047969476;88,08939765603708;90,07904061052058;92,04142818206596;92,28532485233984;91,29486597001365;91,4311676510677;91,87641980917763;91,4311676510677;92,02180826896866
Munching;15,0;93,3496865630962;92,64104660670482;93,04987735077678;91,52357590624148;92,42300354319978;91,38729899155084;91,5508312891796;93,32243118015808;90,35159443990187;91,41455437448896;92,64104660670482;93,16674238982282;92,14902317128578;92,49432076328942;92,62153566560654;91,9400272603362;92,84870513402998
Munching;20,0;93,5949850095394;92,64104660670482;93,40419732897249;92,47751430907604;92,7228127555192;92,69555737258108;93,2406650313437;93,84028345598256;93,2406650313437;92,5320250749523;93,67675115835378;93,32121762835077;92,5851885506588;93,05770104497957;93,16674238982282;92,1762835074966;93,18491594729669
Munching;25,0;93,40419732897249;92,91360043608611;93,67675115835378;92,886345053148;93,04987735077678;92,55928045789044;93,37694194603434;93,86753883892068;93,10438811665304;93,37694194603434;93,2406650313437;93,67560199909131;92,78509768287142;92,96683325761018;93,33030440708768;92,22171740118128;93,35756474329851
Munching;30,0;93,513218860725;92,91360043608611;94,0583265194876;93,02262196783865;93,3496865630962;92,47751430907604;93,9765603706732;93,84028345598256;93,7040065412919;93,81302807304442;93,48596347778684;93,7664697864607;92,96683325761018;93,19400272603362;93,430258973194;92,48523398455248;93,26669695592913
NeighborSpeaking;-5,0;48,269283183428726;48,323793949304985;42,382120468792586;43,281548105750886;42,9272281275552;34,50531479967294;31,670754974107385;50,58599073316981;32,95175797219952;31,834287271736173;48,16026165167621;48,81417537482962;46,887778282598816;47,00590640617901;48,34166288050886;47,96001817355747;49,141299409359384
NeighborSpeaking;0,0;66,93922049604797;68,35650040883074;62,7418915235759;59,28045789043336;58,16298718997002;44,69882801853367;43,25429272281276;67,83864813300626;44,7260834014718;43,1180158081221;66,69392204960481;66,56065424806906;65,9700136301681;66,2062698773285;66,74238982280781;65,87914584279872;65,74284416174466
NeighborSpeaking;5,0;80,81221041155628;80,2943581357318;79,34041973289725;74,54347233578632;73,23521395475606;60,20714091032979;56,77296266012537;81,05750885799945;60,670482420278006;58,95339329517579;80,18533660397928;81,22671512948659;79,13675601999091;80,57246706042707;80,57246706042707;77,65561108587006;79,01862789641072
NeighborSpeaking;10,0;88,55273916598529;87,81684382665577;87,98037612428455;85,60915780866722;83,48323793949305;77,29626601253747;71,84518942491142;88,77078222949034;75,85173071681656;73,97110929408558;88,22567457072772;88,28714220808723;87,0240799636529;87,71467514766016;87,82371649250341;84,6433439345752;87,57837346660608
NeighborSpeaking;15,0;91,22376669392204;90,07904061052058;91,82338511856092;90,78768056691196;90,29708367402564;87,2172254020169;84,49168710820388;91,82338511856092;87,10820387026438;85,44562551103843;91,38729899155084;91,48568832348931;90,46796910495227;90,89504770558835;90,91322126306224;88,58700590640618;90,30440708768741
NeighborSpeaking;20,0;92,69555737258108;91,76887435268466;92,91360043608611;92,36849277732352;92,36849277732352;91,30553284273644;91,2782774597983;92,85908967020988;91,3600436086127;90,76042518397384;92,69555737258108;92,66696955929125;91,9127669241254;92,43071331213083;92,16719672875966;90,54975011358474;92,15810995002272
NeighborSpeaking;25,0;93,3496865630962;92,1777050967566;93,7040065412919;92,69555737258108;93,0771327337149;92,45025892613792;93,0771327337149;93,45870809484872;93,1588988825293;92,886345053148;93,1588988825293;93,2121762835075;92,33984552476149;92,91231258518854;93,11222171740118;91,67651067696502;92,8759654702408
NeighborSpeaking;30,0;93,3496865630962;92,55928045789044;93,73126192423004;92,99536658490052;93,40419732897249;92,8045789043336;93,75851730716816;93,89479422185882;93,75851730716816;93,54047424366313;93,4314527119106;93,64834166288053;92,79418446160837;93,01226715129486;93,2121762835075;92,1308496138119;93,23034984098138
ShuttingDoor;-5,0;83,7012810029981;84,84600708639957;82,47478877078223;80,40337966748433;83,0744071954211;75,90624148269282;71,16380485145817;84,76424093758517;69,36494957754155;71,59989097846825;84,27364404469883;84,68877782825987;83,66197183098592;83,46206269877328;84,86142662426171;83,5620172648796;84,29804634257157
ShuttingDoor;0,0;89,15235759062415;88,6617606977378;86,99918233851186;85,90896702098665;88,08939765603708;83,64677023712184;79,77650585990733;89,37040065412918;78,9315889888253;80,26710275279368;88,41646225129463;89,20490686051794;88,50522489777374;88,08723307587461;88,65061335756475;87,6056338028169;88,66878691503862
ShuttingDoor;5,0;91,22376669392204;90,51512673753066;90,48787135459251;89,37040065412918;90,84219133278822;88,22567457072772;85,41837012810029;91,41455437448896;84,76424093758517;86,75388389206869;91,0874897792314;91,32212630622443;90,54975011358474;90,84052703316674;90,79509313948203;90,02271694684234;91,28577919127669
ShuttingDoor;10,0;92,259471245571;91,33278822567456;91,93240665031344;91,38729899155084;91,87789588443718;90,13355137639684;89,86099754701553;92,6137912237667;88,47097301717089;89,99727446170618;92,45025892613792;92,35801908223534;91,66742389822808;91,9127669241254;91,92185370286234;90,90413448432533;92,28532485233984
ShuttingDoor;15,0;92,83183428727172;92,31398201144728;93,40419732897249;92,36849277732352;92,5320250749523;91,7143635868084;91,632597437994;93,54047424366313;91,65985282093212;91,9869174161897;92,55928045789044;93,03952748750568;91,9127669241254;92,62153566560654;92,83053157655613;91,59472966833258;92,8032712403453
ShuttingDoor;20,0;93,29517579721995;92,39574816026165;93,64949577541564;92,47751430907604;93,10438811665304;92,20496047969476;92,99536658490052;93,64949577541564;92,5320250749523;92,77732352139547;92,77732352139547;93,53930031803723;92,43071331213083;92,83961835529306;93,00318037255792;91,74011812812358;93,0940481599273
ShuttingDoor;25,0;93,29517579721995;92,47751430907604;93,67675115835378;92,7228127555192;93,10438811665304;92,31398201144728;93,67675115835378;93,84028345598256;93,32243118015808;93,56772962660123;93,18615426546744;93,52112676056338;92,84870513402998;92,93957292139936;93,23034984098138;92,18537028623352;93,19400272603362
ShuttingDoor;30,0;93,37694194603434;92,55928045789044;93,94930498773508;92,77732352139547;93,37694194603434;92,7228127555192;93,86753883892068;93,89479422185882;93,75851730716816;93,4314527119106;93,37694194603434;93,70286233530214;92,85779191276691;93,13039527487506;93,36665152203544;92,38527941844616;93,08496138119037
Typing;-5,0;77,07822294903244;76,80566911965113;68,32924502589262;55,21940583265194;80,40337966748433;58,73535023167076;45,05314799672936;79,58571817934042;41,48269283183429;43,71763423276097;72,60834014717908;78,8187187641981;79,57292139936392;70,31349386642435;77,90095411176739;80,59064061790096;80,09086778736938
Typing;0,0;85,50013627691469;85,33660397928591;82,36576723902971;75,25211229217771;87,95312074134641;77,05096756609431;64,75878986099755;86,59035159443991;61,81520850367947;64,29544835104933;83,892068683565;86,8332576101772;86,57882780554293;82,62607905497501;85,79736483416629;86,60608814175374;87,41481144934122
Typing;5,0;90,5423821204688;89,9155083128918;89,09784682474789;85,39111474516217;90,56963750340692;85,28209321340965;79,14963205233033;90,78768056691196;75,57917688743527;77,62333060779504;89,4794221858817;90,18627896410725;89,7955474784189;88,38709677419355;89,80463425715584;89,96819627442072;90,64970467969104
Typing;10,0;92,20496047969476;91,95966203325156;91,632597437994;89,67020986644863;92,36849277732352;89,77923139820115;86,01798855273917;92,94085581902426;84,62796402289452;85,6909239574816;92,01417279912782;92,29441163107678;91,47660154475238;91,22217174011811;91,82189913675604;91,28577919127667;92,10358927760109
Typing;15,0;93,2406650313437;92,58653584082856;92,55928045789044;91,4418097574271;93,2406650313437;91,52357590624148;90,26982829108748;93,73126192423004;88,85254837830472;90,07904061052058;92,99536658490052;93,17582916855974;92,35801908223534;92,4398000908678;92,8032712403453;92,1762835074966;92,90322580645162
Typing;20,0;93,62224039247752;92,83183428727172;93,54047424366313;92,1777050967566;93,13164349959116;92,12319433088037;92,39574816026165;94,19460343417823;91,7143635868084;92,47751430907604;93,54047424366313;93,721035892776;92,93957292139936;93,05770104497957;93,05770104497957;92,4670604270786;93,43934575193093
Typing;25,0;93,5949850095394;93,3496865630962;93,86753883892068;92,69555737258108;93,29517579721995;92,69555737258108;93,26792041428182;94,00381575361136;93,26792041428182;93,18615426546744;93,513218860725;93,89368468877782;92,78509768287142;93,36665152203544;93,33030440708768;92,53975465697413;93,56656065424806
Typing;30,0;93,81302807304442;93,10438811665304;93,94930498773508;92,91360043608611;93,40419732897249;92,8045789043336;93,7040065412919;94,140092668302;93,62224039247752;93,48596347778684;93,64949577541564;93,85733757383008;92,89413902771469;93,38482507950933;93,38482507950933;92,45797364834166;93,5483870967742
VacuumCleaner;-5,0;59,58026710275279;60,04360861270101;42,763695829926405;47,58789860997547;57,99945489234124;59,96184246388662;23,00354319978196;61,24284546197873;18,94249114200055;27,85500136276915;60,724993186154265;61,6356201726488;57,28305315765561;56,710586097228536;57,19218537028623;58,27351203998183;56,37437528396183
VacuumCleaner;0,0;74,40719542109566;75,19760152630144;67,26628509130553;70,26437721449986;75,82447533387844;76,9692014172799;49,877350776778414;77,21449986372309;42,00054510765876;55,7100027255383;75,82447533387844;77,04679691049523;73,42117219445706;72,89413902771467;73,30304407087687;74,67514766015448;73,19400272603363
VacuumCleaner;5,0;83,56500408830743;84,21913327882257;81,24829653856636;81,11201962387571;84,00109021531752;84,76424093758517;70,59144180975743;85,44562551103843;64,89506677568819;73,78032161351867;84,05560098119379;85,0340754202635;82,13539300318038;81,74466151749205;82,57155838255339;83,03498409813722;82,53521126760563
VacuumCleaner;10,0;88,47097301717089;87,57154538021258;87,78958844371763;86,59035159443991;88,57999454892341;89,39765603706732;83,48323793949305;89,67020986644863;79,09512128645407;83,37421640774053;87,84409920959389;89,33212176283507;86,90595184007269;87,11494775102227;87,44207178555202;87,11494775102227;87,49659245797365
VacuumCleaner;15,0;91,0874897792314;89,8337421640774;90,7331698010357;90,02452984464432;90,8149359498501;90,97846824747889;88,41646225129463;91,632597437994;86,399563913873;89,45216680294358;90,48787135459251;91,17673784643344;89,46842344388915;89,6047251249432;89,85915492957747;89,39572921399363;90,15901862789642
VacuumCleaner;20,0;92,42300354319978;90,76042518397384;92,28672662850911;91,33278822567456;92,12319433088037;91,95966203325156;92,04142818206596;92,58653584082856;90,78768056691196;91,74161896974653;91,632597437994;92,36710586097227;91,0222626079055;91,45842798727853;91,6946842344389;90,53157655611086;91,51294865970013
VacuumCleaner;25,0;92,886345053148;91,41455437448896;93,18615426546744;92,3412373943854;92,85908967020988;92,259471245571;93,1588988825293;93,45870809484872;92,77732352139547;93,04987735077678;92,39574816026165;93,07587460245344;91,84915947296685;92,2035438437074;92,4216265333939;91,54020899591096;92,38527941844616
VacuumCleaner;30,0;93,21340964840556;92,23221586263288;93,64949577541564;92,64104660670482;93,18615426546744;92,58653584082856;93,5949850095394;93,56772962660123;93,0771327337149;93,48596347778684;93,02262196783865;93,430258973194;92,47614720581554;92,64879600181736;93,00318037255792;91,84007269422987;92,84870513402998
TradeShow;-5,0;80,81221041155628;79,64022894521668;77,97765058599073;75,6064322703734;78,19569364949578;62,8236576723903;61,024802398473696;82,12046879258654;62,16952848187517;62,11501771599891;77,89588443717635;81,31758291685598;79,70013630168106;78,21899136756019;79,98182644252613;79,04588823262154;80,52703316674238
TradeShow;0,0;88,47097301717089;88,79803761242846;88,25292995366584;85,82720087217226;87,43526846552194;79,36767511583538;75,63368765331153;88,6617606977378;78,79531207413464;78,03216135186699;88,17116380485146;88,89595638346206;86,84234438891413;87,09677419354838;87,99636528850523;87,07860063607451;88,35074965924579
TradeShow;5,0;91,95966203325156;91,9869174161897;91,4418097574271;90,02452984464432;90,86944671572635;87,59880076315072;85,772690106296;92,5320250749523;86,01798855273917;85,96347778686291;91,4418097574271;91,56746933212176;90,5679236710586;90,64061790095413;91,37664697864606;90,0590640617901;91,4311676510677
TradeShow;10,0;93,40419732897249;92,8045789043336;92,83183428727172;91,7143635868084;92,55928045789044;90,76042518397384;89,75197601526301;93,4314527119106;89,9155083128918;90,35159443990187;92,91360043608611;92,9486597001363;92,00363471149475;92,33075874602451;92,72149023171283;91,78555202180829;92,83961835529306
TradeShow;15,0;93,75851730716816;93,04987735077678;93,62224039247752;92,83183428727172;92,91360043608611;91,79612973562278;91,7143635868084;94,19460343417823;92,55928045789044;92,259471245571;93,48596347778684;93,55747387551114;92,57610177192186;93,19400272603362;93,10313493866424;91,92185370286234;93,27578373466606
TradeShow;20,0;93,84028345598256;92,9681112019624;93,94930498773508;93,1588988825293;93,1588988825293;92,3412373943854;93,45870809484872;94,16734805124013;93,3496865630962;92,99536658490052;93,56772962660123;93,85733757383008;92,90322580645162;93,430258973194;93,36665152203544;92,34893230349842;93,39391185824624
TradeShow;25,0;93,86753883892068;93,0771327337149;93,89479422185882;93,0771327337149;93,40419732897249;92,58653584082856;93,7857726901063;94,08558190242572;93,81302807304442;93,513218860725;93,5949850095394;93,83007723761926;92,95774647887325;93,33030440708768;93,34847796456155;92,4216265333939;93,56656065424806
TradeShow;30,0;93,48596347778684;93,1588988825293;93,9765603706732;93,10438811665304;93,1588988825293;92,66830198964296;94,140092668302;93,92204960479694;93,89479422185882;93,86753883892068;93,4314527119106;93,9118582462517;93,05770104497957;93,39391185824624;93,5483870967742;92,38527941844616;93,41208541572013
WhiteNoise;-5,0;68,65630962115017;66,93922049604797;66,53038975197602;64,40446988280185;72,25402016898337;71,51812482965386;69,91005723630417;78,11392750068138;16,54401744344508;70,94576178795312;64,89506677568819;78,1462971376647;79,31849159472966;67,6056338028169;76,7287596547024;77,99182189913677;77,39209450249886
WhiteNoise;0,0;81,87517034614336;79,31316434995912;81,76614881439083;81,11201962387571;83,83755791768874;83,31970564186427;83,42872717361679;85,2275824475334;42,10956663941129;84,76424093758517;77,89588443717635;86,08814175374829;85,92457973648342;81,57201272149022;85,69741026805997;86,32439800090867;86,18809631985461
WhiteNoise;5,0;88,55273916598529;86,8629054238212;89,31588988825293;87,18997001907877;88,44371763423277;88,47097301717089;89,53393295175798;90,02452984464432;65,87626056146088;89,61569910057237;85,39111474516217;89,66833257610178;89,14129940935939;88,24170831440254;89,39572921399363;89,6047251249432;89,98636983189459
WhiteNoise;10,0;92,45025892613792;90,13355137639684;91,7143635868084;89,99727446170618;91,4418097574271;91,11474516216953;91,9869174161897;92,06868356500408;80,7304442627419;91,76887435268466;89,61569910057237;91,77646524307131;90,95865515674694;91,1222171740118;91,49477510222626;91,23125851885506;92,11267605633803
WhiteNoise;15,0;93,29517579721995;91,85064050149904;92,83183428727172;91,87789588443718;91,9869174161897;92,28672662850911;93,10438811665304;92,7228127555192;88,0348868901608;92,5320250749523;91,74161896974653;92,74875056792366;92,00363471149475;92,28532485233984;92,27623807360293;91,82189913675604;92,75783734666061
WhiteNoise;20,0;93,45870809484872;92,12319433088037;93,40419732897249;92,20496047969476;93,10438811665304;92,39574816026165;93,40419732897249;93,37694194603434;90,89670209866448;93,26792041428182;92,12319433088037;93,19400272603362;92,37619263970922;92,92139936392547;92,994093593821;92,15810995002272;93,17582916855974
WhiteNoise;25,0;93,32243118015808;92,47751430907604;93,73126192423004;92,75006813845734;93,2406650313437;92,85908967020988;93,94930498773508;93,84028345598256;92,45025892613792;93,73126192423004;92,69555737258108;93,48477964561565;92,65788278055427;93,13039527487506;93,139482053612;92,22171740118128;93,26669695592913
WhiteNoise;30,0;93,56772962660123;92,64104660670482;93,81302807304442;92,8045789043336;93,45870809484872;92,75006813845734;94,03107113654949;93,89479422185882;93,21340964840556;93,75851730716816;93,18615426546744;93,65742844161744;92,83053157655613;93,03044070876874;93,284870513403;92,07632894139029;93,19400272603362
